object_id,api_supplier_risk,campaign_flag,client_type,criticality,deviation_type,dosage_form,dosage_specialization,due_date,equipment_type,expiry_date,lab_id,line,line_id,market,material_type,planned_qty,plant,priority,product_code,requested_qty,sample_type,supplier_risk,uom
TL1,,,,,,,Tablet,,,,,,,,,,PLANT_SOLIDS,,,,,,
TL2,,,,,,,Tablet,,,,,,,,,,PLANT_SOLIDS,,,,,,
TL3,,,,,,,Tablet,,,,,,,,,,PLANT_SOLIDS,,,,,,
CL1,,,,,,,Capsule,,,,,,,,,,PLANT_SOLIDS,,,,,,
CL2,,,,,,,Capsule,,,,,,,,,,PLANT_SOLIDS,,,,,,
INJ1,,,,,,,Injectable,,,,,,,,,,PLANT_PARENTERAL,,,,,,
INJ2,,,,,,,Injectable,,,,,,,,,,PLANT_PARENTERAL,,,,,,
HORM1,,,,,,,Hormonal,,,,,,,,,,PLANT_SPECIAL,,,,,,
HORM2,,,,,,,Hormonal,,,,,,,,,,PLANT_SPECIAL,,,,,,
DEV1,,,,,,,Device,,,,,,,,,,PLANT_SPECIAL,,,,,,
DEV2,,,,,,,Device,,,,,,,,,,PLANT_SPECIAL,,,,,,
TL1_COMP,,,,,,,,,COMP,,,,TL1,,,,,,,,,,
TL1_COAT,,,,,,,,,COAT,,,,TL1,,,,,,,,,,
TL1_PACK,,,,,,,,,PACK,,,,TL1,,,,,,,,,,
TL2_COMP,,,,,,,,,COMP,,,,TL2,,,,,,,,,,
TL2_COAT,,,,,,,,,COAT,,,,TL2,,,,,,,,,,
TL2_PACK,,,,,,,,,PACK,,,,TL2,,,,,,,,,,
TL3_COMP,,,,,,,,,COMP,,,,TL3,,,,,,,,,,
TL3_COAT,,,,,,,,,COAT,,,,TL3,,,,,,,,,,
TL3_PACK,,,,,,,,,PACK,,,,TL3,,,,,,,,,,
CL1_FILL,,,,,,,,,FILL,,,,CL1,,,,,,,,,,
CL1_PACK,,,,,,,,,PACK,,,,CL1,,,,,,,,,,
CL2_FILL,,,,,,,,,FILL,,,,CL2,,,,,,,,,,
CL2_PACK,,,,,,,,,PACK,,,,CL2,,,,,,,,,,
INJ1_FILL,,,,,,,,,FILL,,,,INJ1,,,,,,,,,,
INJ1_LYO,,,,,,,,,LYO,,,,INJ1,,,,,,,,,,
INJ1_PACK,,,,,,,,,PACK,,,,INJ1,,,,,,,,,,
INJ2_FILL,,,,,,,,,FILL,,,,INJ2,,,,,,,,,,
INJ2_LYO,,,,,,,,,LYO,,,,INJ2,,,,,,,,,,
INJ2_PACK,,,,,,,,,PACK,,,,INJ2,,,,,,,,,,
HORM1_COMP,,,,,,,,,COMP,,,,HORM1,,,,,,,,,,
HORM1_COAT,,,,,,,,,COAT,,,,HORM1,,,,,,,,,,
HORM1_PACK,,,,,,,,,PACK,,,,HORM1,,,,,,,,,,
HORM2_COMP,,,,,,,,,COMP,,,,HORM2,,,,,,,,,,
HORM2_COAT,,,,,,,,,COAT,,,,HORM2,,,,,,,,,,
HORM2_PACK,,,,,,,,,PACK,,,,HORM2,,,,,,,,,,
DEV1_ASSEMBLY,,,,,,,,,ASSEMBLY,,,,DEV1,,,,,,,,,,
DEV1_CALIB,,,,,,,,,CALIB,,,,DEV1,,,,,,,,,,
DEV1_PACK,,,,,,,,,PACK,,,,DEV1,,,,,,,,,,
DEV2_ASSEMBLY,,,,,,,,,ASSEMBLY,,,,DEV2,,,,,,,,,,
DEV2_CALIB,,,,,,,,,CALIB,,,,DEV2,,,,,,,,,,
DEV2_PACK,,,,,,,,,PACK,,,,DEV2,,,,,,,,,,
MAT00001,,,,,,,,,,2024-10-08T08:00:00,,,,,API,,,,,,,Low,
MAT00002,,,,,,,,,,2024-05-22T08:00:00,,,,,API,,,,,,,Low,
MAT00003,,,,,,,,,,2025-08-27T08:00:00,,,,,API,,,,,,,Low,
MAT00004,,,,,,,,,,2024-01-31T08:00:00,,,,,Component,,,,,,,Low,
MAT00005,,,,,,,,,,2024-08-26T08:00:00,,,,,API,,,,,,,Low,
MAT00006,,,,,,,,,,2025-10-27T08:00:00,,,,,API,,,,,,,Low,
MAT00007,,,,,,,,,,2025-04-04T08:00:00,,,,,Component,,,,,,,Low,
MAT00008,,,,,,,,,,2024-06-12T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00009,,,,,,,,,,2024-10-11T08:00:00,,,,,Component,,,,,,,Medium,
MAT00010,,,,,,,,,,2024-12-10T08:00:00,,,,,API,,,,,,,Low,
MAT00011,,,,,,,,,,2025-01-24T08:00:00,,,,,API,,,,,,,Low,
MAT00012,,,,,,,,,,2024-12-18T08:00:00,,,,,API,,,,,,,Medium,
MAT00013,,,,,,,,,,2025-04-15T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00014,,,,,,,,,,2024-03-21T08:00:00,,,,,API,,,,,,,High,
MAT00015,,,,,,,,,,2025-08-14T08:00:00,,,,,Excipient,,,,,,,Medium,
MAT00016,,,,,,,,,,2024-02-16T08:00:00,,,,,API,,,,,,,Low,
MAT00017,,,,,,,,,,2024-03-22T08:00:00,,,,,API,,,,,,,Medium,
MAT00018,,,,,,,,,,2025-01-24T08:00:00,,,,,API,,,,,,,Low,
MAT00019,,,,,,,,,,2025-10-12T08:00:00,,,,,Excipient,,,,,,,High,
MAT00020,,,,,,,,,,2025-01-14T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00021,,,,,,,,,,2025-11-17T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00022,,,,,,,,,,2025-09-15T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00023,,,,,,,,,,2024-06-16T08:00:00,,,,,API,,,,,,,Low,
MAT00024,,,,,,,,,,2024-10-03T08:00:00,,,,,Component,,,,,,,High,
MAT00025,,,,,,,,,,2024-02-27T08:00:00,,,,,API,,,,,,,Medium,
MAT00026,,,,,,,,,,2024-11-19T08:00:00,,,,,API,,,,,,,Low,
MAT00027,,,,,,,,,,2024-03-08T08:00:00,,,,,Component,,,,,,,Medium,
MAT00028,,,,,,,,,,2024-08-05T08:00:00,,,,,API,,,,,,,Medium,
MAT00029,,,,,,,,,,2025-10-20T08:00:00,,,,,Component,,,,,,,High,
MAT00030,,,,,,,,,,2024-09-28T08:00:00,,,,,Component,,,,,,,Low,
MAT00031,,,,,,,,,,2025-07-28T08:00:00,,,,,API,,,,,,,Low,
MAT00032,,,,,,,,,,2025-08-20T08:00:00,,,,,Excipient,,,,,,,High,
MAT00033,,,,,,,,,,2024-08-12T08:00:00,,,,,Component,,,,,,,Medium,
MAT00034,,,,,,,,,,2024-04-03T08:00:00,,,,,API,,,,,,,High,
MAT00035,,,,,,,,,,2024-06-05T08:00:00,,,,,API,,,,,,,Low,
MAT00036,,,,,,,,,,2025-09-02T08:00:00,,,,,API,,,,,,,High,
MAT00037,,,,,,,,,,2025-01-25T08:00:00,,,,,API,,,,,,,High,
MAT00038,,,,,,,,,,2025-07-20T08:00:00,,,,,Component,,,,,,,Medium,
MAT00039,,,,,,,,,,2025-11-29T08:00:00,,,,,API,,,,,,,Low,
MAT00040,,,,,,,,,,2024-04-24T08:00:00,,,,,Excipient,,,,,,,Medium,
MAT00041,,,,,,,,,,2024-06-10T08:00:00,,,,,Excipient,,,,,,,High,
MAT00042,,,,,,,,,,2024-09-26T08:00:00,,,,,Component,,,,,,,Low,
MAT00043,,,,,,,,,,2025-10-02T08:00:00,,,,,API,,,,,,,Low,
MAT00044,,,,,,,,,,2024-06-05T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00045,,,,,,,,,,2025-07-06T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00046,,,,,,,,,,2025-05-15T08:00:00,,,,,API,,,,,,,Medium,
MAT00047,,,,,,,,,,2025-01-06T08:00:00,,,,,API,,,,,,,Low,
MAT00048,,,,,,,,,,2024-02-29T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00049,,,,,,,,,,2024-03-28T08:00:00,,,,,API,,,,,,,Low,
MAT00050,,,,,,,,,,2025-06-29T08:00:00,,,,,Component,,,,,,,Low,
MAT00051,,,,,,,,,,2025-11-06T08:00:00,,,,,API,,,,,,,Low,
MAT00052,,,,,,,,,,2024-09-28T08:00:00,,,,,Component,,,,,,,Low,
MAT00053,,,,,,,,,,2025-07-06T08:00:00,,,,,Component,,,,,,,Low,
MAT00054,,,,,,,,,,2025-02-12T08:00:00,,,,,API,,,,,,,Medium,
MAT00055,,,,,,,,,,2025-06-13T08:00:00,,,,,Excipient,,,,,,,High,
MAT00056,,,,,,,,,,2024-09-10T08:00:00,,,,,Component,,,,,,,Low,
MAT00057,,,,,,,,,,2024-12-12T08:00:00,,,,,API,,,,,,,Low,
MAT00058,,,,,,,,,,2025-08-25T08:00:00,,,,,API,,,,,,,Low,
MAT00059,,,,,,,,,,2024-03-13T08:00:00,,,,,API,,,,,,,Low,
MAT00060,,,,,,,,,,2024-03-10T08:00:00,,,,,API,,,,,,,Low,
MAT00061,,,,,,,,,,2024-03-13T08:00:00,,,,,API,,,,,,,Medium,
MAT00062,,,,,,,,,,2025-11-16T08:00:00,,,,,API,,,,,,,Medium,
MAT00063,,,,,,,,,,2025-07-06T08:00:00,,,,,Component,,,,,,,Low,
MAT00064,,,,,,,,,,2024-09-05T08:00:00,,,,,API,,,,,,,High,
MAT00065,,,,,,,,,,2024-07-13T08:00:00,,,,,Component,,,,,,,High,
MAT00066,,,,,,,,,,2025-11-05T08:00:00,,,,,API,,,,,,,Low,
MAT00067,,,,,,,,,,2025-03-09T08:00:00,,,,,Component,,,,,,,Medium,
MAT00068,,,,,,,,,,2024-02-25T08:00:00,,,,,Component,,,,,,,High,
MAT00069,,,,,,,,,,2025-02-16T08:00:00,,,,,API,,,,,,,Low,
MAT00070,,,,,,,,,,2024-09-11T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00071,,,,,,,,,,2025-07-03T08:00:00,,,,,API,,,,,,,Low,
MAT00072,,,,,,,,,,2025-03-08T08:00:00,,,,,Component,,,,,,,Low,
MAT00073,,,,,,,,,,2025-04-18T08:00:00,,,,,API,,,,,,,Medium,
MAT00074,,,,,,,,,,2025-03-29T08:00:00,,,,,API,,,,,,,Low,
MAT00075,,,,,,,,,,2025-10-29T08:00:00,,,,,API,,,,,,,Low,
MAT00076,,,,,,,,,,2024-08-30T08:00:00,,,,,API,,,,,,,Low,
MAT00077,,,,,,,,,,2025-05-12T08:00:00,,,,,API,,,,,,,High,
MAT00078,,,,,,,,,,2025-02-14T08:00:00,,,,,Component,,,,,,,Low,
MAT00079,,,,,,,,,,2025-01-23T08:00:00,,,,,API,,,,,,,Low,
MAT00080,,,,,,,,,,2024-09-28T08:00:00,,,,,API,,,,,,,High,
MAT00081,,,,,,,,,,2025-03-09T08:00:00,,,,,Component,,,,,,,Medium,
MAT00082,,,,,,,,,,2024-07-13T08:00:00,,,,,Component,,,,,,,Low,
MAT00083,,,,,,,,,,2024-02-29T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00084,,,,,,,,,,2024-02-28T08:00:00,,,,,API,,,,,,,Medium,
MAT00085,,,,,,,,,,2025-05-29T08:00:00,,,,,API,,,,,,,High,
MAT00086,,,,,,,,,,2025-06-04T08:00:00,,,,,API,,,,,,,Low,
MAT00087,,,,,,,,,,2024-03-11T08:00:00,,,,,API,,,,,,,Low,
MAT00088,,,,,,,,,,2025-02-17T08:00:00,,,,,API,,,,,,,Low,
MAT00089,,,,,,,,,,2025-08-15T08:00:00,,,,,API,,,,,,,Low,
MAT00090,,,,,,,,,,2025-03-05T08:00:00,,,,,API,,,,,,,Low,
MAT00091,,,,,,,,,,2024-07-28T08:00:00,,,,,Excipient,,,,,,,Medium,
MAT00092,,,,,,,,,,2024-09-28T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00093,,,,,,,,,,2025-11-18T08:00:00,,,,,Component,,,,,,,Low,
MAT00094,,,,,,,,,,2024-11-19T08:00:00,,,,,Excipient,,,,,,,High,
MAT00095,,,,,,,,,,2025-04-14T08:00:00,,,,,API,,,,,,,Low,
MAT00096,,,,,,,,,,2025-07-04T08:00:00,,,,,API,,,,,,,Low,
MAT00097,,,,,,,,,,2024-05-15T08:00:00,,,,,API,,,,,,,Medium,
MAT00098,,,,,,,,,,2024-09-07T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00099,,,,,,,,,,2024-06-10T08:00:00,,,,,Excipient,,,,,,,Medium,
MAT00100,,,,,,,,,,2025-09-18T08:00:00,,,,,Component,,,,,,,Medium,
MAT00101,,,,,,,,,,2025-11-10T08:00:00,,,,,API,,,,,,,Medium,
MAT00102,,,,,,,,,,2024-09-27T08:00:00,,,,,API,,,,,,,Low,
MAT00103,,,,,,,,,,2025-07-20T08:00:00,,,,,API,,,,,,,Low,
MAT00104,,,,,,,,,,2024-10-15T08:00:00,,,,,API,,,,,,,Medium,
MAT00105,,,,,,,,,,2024-07-27T08:00:00,,,,,API,,,,,,,Medium,
MAT00106,,,,,,,,,,2024-09-14T08:00:00,,,,,Excipient,,,,,,,High,
MAT00107,,,,,,,,,,2025-10-11T08:00:00,,,,,API,,,,,,,Low,
MAT00108,,,,,,,,,,2024-02-15T08:00:00,,,,,Component,,,,,,,Medium,
MAT00109,,,,,,,,,,2024-05-13T08:00:00,,,,,API,,,,,,,Medium,
MAT00110,,,,,,,,,,2025-03-28T08:00:00,,,,,Excipient,,,,,,,Low,
MAT00111,,,,,,,,,,2024-04-24T08:00:00,,,,,Component,,,,,,,Low,
MAT00112,,,,,,,,,,2025-07-12T08:00:00,,,,,API,,,,,,,Low,
